timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.gregorian.lunarSighting,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.month.days,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,date.hijri.holidays,date.hijri.method,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"06:12 (GMT)","08:20 (GMT)","12:17 (GMT)","13:55 (GMT)","16:14 (GMT)","16:14 (GMT)","18:15 (GMT)","06:02 (GMT)","00:17 (GMT)","21:36 (GMT)","02:58 (GMT)","11 Jan 2025",1736586061,11-01-2025,DD-MM-YYYY,11,Saturday,1,January,2025,AD,"Anno Domini",,11-07-1446,DD-MM-YYYY,11,"Al Sabt",السبت,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:12 (GMT)","08:19 (GMT)","12:17 (GMT)","13:56 (GMT)","16:16 (GMT)","16:16 (GMT)","18:16 (GMT)","06:02 (GMT)","00:18 (GMT)","21:37 (GMT)","02:58 (GMT)","12 Jan 2025",1736672461,12-01-2025,DD-MM-YYYY,12,Sunday,1,January,2025,AD,"Anno Domini",,12-07-1446,DD-MM-YYYY,12,"Al Ahad",الاحد,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:11 (GMT)","08:18 (GMT)","12:18 (GMT)","13:57 (GMT)","16:17 (GMT)","16:17 (GMT)","18:18 (GMT)","06:01 (GMT)","00:18 (GMT)","21:38 (GMT)","02:58 (GMT)","13 Jan 2025",1736758861,13-01-2025,DD-MM-YYYY,13,Monday,1,January,2025,AD,"Anno Domini",,13-07-1446,DD-MM-YYYY,13,"Al Athnayn",الاثنين,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae","Birth of Sayyidina `Ali ibn Abi Talib (ر)",HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:11 (GMT)","08:18 (GMT)","12:18 (GMT)","13:59 (GMT)","16:19 (GMT)","16:19 (GMT)","18:19 (GMT)","06:01 (GMT)","00:18 (GMT)","21:39 (GMT)","02:58 (GMT)","14 Jan 2025",1736845261,14-01-2025,DD-MM-YYYY,14,Tuesday,1,January,2025,AD,"Anno Domini",,14-07-1446,DD-MM-YYYY,14,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:10 (GMT)","08:17 (GMT)","12:18 (GMT)","14:00 (GMT)","16:21 (GMT)","16:21 (GMT)","18:20 (GMT)","06:00 (GMT)","00:19 (GMT)","21:39 (GMT)","02:58 (GMT)","15 Jan 2025",1736931661,15-01-2025,DD-MM-YYYY,15,Wednesday,1,January,2025,AD,"Anno Domini",,15-07-1446,DD-MM-YYYY,15,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae","Urs of Sayyidina Jāfar as-Sādiq (ق),Urs of Zaynab bint Ali (ر)",HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:09 (GMT)","08:16 (GMT)","12:19 (GMT)","14:01 (GMT)","16:22 (GMT)","16:22 (GMT)","18:22 (GMT)","05:59 (GMT)","00:19 (GMT)","21:40 (GMT)","02:58 (GMT)","16 Jan 2025",1737018061,16-01-2025,DD-MM-YYYY,16,Thursday,1,January,2025,AD,"Anno Domini",,16-07-1446,DD-MM-YYYY,16,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:09 (GMT)","08:15 (GMT)","12:19 (GMT)","14:03 (GMT)","16:24 (GMT)","16:24 (GMT)","18:23 (GMT)","05:59 (GMT)","00:19 (GMT)","21:41 (GMT)","02:58 (GMT)","17 Jan 2025",1737104461,17-01-2025,DD-MM-YYYY,17,Friday,1,January,2025,AD,"Anno Domini",,17-07-1446,DD-MM-YYYY,17,"Al Juma'a",الجمعة,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:08 (GMT)","08:13 (GMT)","12:19 (GMT)","14:04 (GMT)","16:26 (GMT)","16:26 (GMT)","18:25 (GMT)","05:58 (GMT)","00:20 (GMT)","21:42 (GMT)","02:58 (GMT)","18 Jan 2025",1737190861,18-01-2025,DD-MM-YYYY,18,Saturday,1,January,2025,AD,"Anno Domini",,18-07-1446,DD-MM-YYYY,18,"Al Sabt",السبت,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:07 (GMT)","08:12 (GMT)","12:20 (GMT)","14:05 (GMT)","16:28 (GMT)","16:28 (GMT)","18:26 (GMT)","05:57 (GMT)","00:20 (GMT)","21:43 (GMT)","02:57 (GMT)","19 Jan 2025",1737277261,19-01-2025,DD-MM-YYYY,19,Sunday,1,January,2025,AD,"Anno Domini",,19-07-1446,DD-MM-YYYY,19,"Al Ahad",الاحد,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:06 (GMT)","08:11 (GMT)","12:20 (GMT)","14:07 (GMT)","16:30 (GMT)","16:30 (GMT)","18:28 (GMT)","05:56 (GMT)","00:20 (GMT)","21:43 (GMT)","02:57 (GMT)","20 Jan 2025",1737363661,20-01-2025,DD-MM-YYYY,20,Monday,1,January,2025,AD,"Anno Domini",,20-07-1446,DD-MM-YYYY,20,"Al Athnayn",الاثنين,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
